date,headline,url,summary,year,month,day
2019-12-13 08:20:00+00:00, Κουφοντίνας: Προσφυγή κατά της απόρριψης του αιτήματός του για 9ήμερη άδεια ,https://www.protothema.gr/greece/article/955050/koufodinas-prosfugi-kata-tis-aporripsis-tou-aitimatos-tou-gia-9imeri-adeia/,                     Μετά την απόρριψη του σχετικού αιτήματός του από το Πειθαρχικό Συμβούλιο της φυλακής                 ,2019,12,13
2019-12-10 18:20:00+00:00, Απορρίφθηκε το αίτημα Κουφοντίνα για άδεια εννέα ημερών από τις φυλακές ,https://www.protothema.gr/greece/article/954141/aporrifthike-to-aitima-koufodina-gia-adeia-ennea-imeron-apo-tis-fulakes/,"                     Tο Πειθαρχικό Συμβούλιο των αγροτικών φυλακών Κασσαβέτειας απέρριψε, κατά πλειοψηφία (2-1) το αίτημα του                 ",2019,12,10
2019-10-04 09:00:00+00:00, Μπακογιάννης: Ανακουφίστηκα που δεν δόθηκε άδεια στον Κουφοντίνα  ,https://www.protothema.gr/politics/article/931848/bakogiannis-anakoufistika-pou-den-dothike-adeia-ston-koufodina/,"                     «Δεν χρειάζεται να εξηγήσω στα παιδιά μου γιατί κάνει βόλτα στην Αθήνα», είπε ο δήμαρχος Αθηναίων                 ",2019,10,04
2019-10-03 15:51:00+00:00, Απορρίφθηκε αίτημα χορήγησης άδειας στον Κουφοντίνα ,https://www.protothema.gr/greece/article/931635/aporrifthike-aitima-horigisis-adeias-ston-koufodina/," Ο πολυισοβίτης έχει το δικαίωμα να ασκήσει προσφυγή κατά της απόρριψης του αιτήματός του, η οποία θα κριθεί από το δικαστικό συμβούλιο Βόλου ",2019,10,03
2019-10-02 18:50:00+00:00, Νέο αίτημα άδειας από τον Δημήτρη Κουφοντίνα ,https://www.protothema.gr/greece/article/931261/neo-aitima-adeias-apo-ton-dimitri-koufodina/, Το αίτημα του Δημήτρη Κουφοντίνα υποβλήθηκε την περασμένη εβδομάδα και θα εξεταστεί από το πειθαρχικό συμβούλιο της φυλακής που αναμένεται να συνεδριάσει την τρέχουσα ή την επόμενη εβδομάδα ,2019,10,02
2019-07-06 14:20:00+00:00, Κουφοντίνας για απόρριψη της άδειάς του: Αυθαίρετη η απόφαση των δικαστών του Βόλου ,https://www.protothema.gr/greece/article/906151/koufodinas-gia-aporripsi-tis-adeias-tou-authaireti-i-apofasi-ton-dikaston-tou-volou/," Ο πολυισοβίτης της 17Ν με αφορμή την απόρριψη του αιτήματός του για άδεια υποστηρίζει ότι οι δικαστές έπιασαν «το νήμα της αυθαιρεσίας», παραπέμποντας στη δήλωσή του για «το κόκκινο νήμα των αγώνων» ",2019,07,06
2019-07-05 18:25:00+00:00," Κουφοντίνας: Μπορεί να σχεδιάσει και να τελέσει νέα εγκλήματα, λένε οι δικαστές που απέρριψαν την άδειά του ",https://www.protothema.gr/greece/article/906039/koufodinas-borei-na-shediasei-kai-na-telesei-nees-axiopoines-praxeis-lene-oi-dikastes-pou-aperripsan-tin-adeia-tou/,"                     Διαβάστε το απορριπτικό βούλευμα για  το αίτημα του πολυισοβίτη της 17Ν να λάβει την έβδομη κατά σειρά άδειά του - Υπάρχει σοβαρός κίνδυνος, κατά τη διάρκεια της άδειάς του,  «να τελέσει και νέες αξιόποινες πράξεις, και να σχεδιάσει και να καθοδηγήσει οργανώσεις, ομάδες και συλλογικότητες του αναρχικού - αντιεξουσιαστικού χώρου, με τις οποίες ο ίδιος δηλώνει «αλληλέγγυος» αναφέρερουν οι δικαστές  ",2019,07,05
2019-07-05 10:23:00+00:00, Δημήτρης Κουφοντίνας: Τρίτο «όχι» από τους δικαστές του Βόλου στην 7η άδεια ,https://www.protothema.gr/greece/article/905859/alert-trito-ohi-apo-tous-dikastes-tou-volou-stin-7i-adeia-tou-koufodina/,                     Οι δικαστές του Βόλου υιοθέτησαν την πρόταση της εισαγγελέως που απέρριψε το αίτημα του Δημήτρη Κουφοντίνα – Θεωρούν ότι ο καταδικασμένος σε 11 φορές ισόβια δεν έχει μεταμεληθεί                 ,2019,07,05
2019-07-02 03:10:00+00:00, Νέος Ποινικός Κώδικας: Αποφυλακίζει βαρυποινίτες και τρομοκράτες ,https://www.protothema.gr/greece/article/904611/thuella-gia-ti-diataxi-tou-neou-poinikou-kodika-gia-uf-oron-apolusi-katadikasthedon-gia-tromokratia/,"                     Παρά την επιχείρηση διάψευσης από τον Μιχάλη Καλογήρου το άρθρο 110Α ορίζει «... Σε κάθε περίπτωση όμως ο καταδικασθείς μπορεί να απολυθεί αν έχει παραμείνει στο κατάστημα δεκατέσσερα έτη και αν εκτίει περισσότερες ποινές ισόβιας κάθειρξης, αν έχει παραμείνει δεκαέξι έτη» ",2019,07,02
2019-07-01 15:57:00+00:00, Άδεια Κουφοντίνα: Νέο εισαγγελικό «όχι» και με τον νέο Ποινικό Κώδικα ,https://www.protothema.gr/greece/article/904537/neo-eisaggeliko-ohi-gia-adeia-ston-koufodina-kai-me-to-neo-poiniko-kodika/," Η εισαγγελέας του Βόλου, θα προτείνει μέσα στις επόμενες μέρες τη μη χορήγηση της 7ης άδειας στον Λουκά της 17Ν, παρά το γεγονός ότι ο νέος Ποινικός Κώδικας η εφαρμογή του οποίου άρχισε σήμερα, του παρέχει τη δυνατότητα χορήγησης άδειας ",2019,07,01
2019-07-01 15:35:00+00:00, «Βγάζει» τρομοκράτες και σκληρούς βαρυποινίτες από τις φυλακές ο νέος ποινικός κώδικας ,https://www.protothema.gr/greece/article/904529/vgazei-sklirous-varupoinites-apo-tis-fulakes-o-neos-poinikos-kodikas/,"                     Στα μαλακά πέφτουν κατηγορούμενοι για ανθρωποκτονίες ή εμπορία ναρκωτικών, ενώ οι κρατούμενοι για κλοπές μέχρι 120.000 ευρώ μπορούν να αποφυλακιστούν - Στο σπίτι τους μπορεί να εκτίσουν την ποινή τους οι ισοβίτες της 17Ν: Γιωτόπουλος, Σάββας και Χριστόδουλος Ξηρός, Τζωρτζάτος, αλλά και ο Κουφοντίνας                 ",2019,07,01
